bulan_tahun,ch
jan_2005,356
feb_2005,384
mar_2005,203
apr_2005,337
mei_2005,48
jun_2005,64
jul_2005,84
agu_2005,23
sep_2005,32
okt_2005,53
nov_2005,210
des_2005,539
jan_2006,479
feb_2006,427
mar_2006,223
apr_2006,447
mei_2006,247
jun_2006,0
jul_2006,0
agu_2006,0
sep_2006,0
okt_2006,0
nov_2006,46
des_2006,680
jan_2007,137
feb_2007,603
mar_2007,335
apr_2007,652
mei_2007,116
jun_2007,44
jul_2007,7
agu_2007,0
sep_2007,0
okt_2007,76
nov_2007,507
des_2007,449
jan_2008,246
feb_2008,363
mar_2008,341
apr_2008,308
mei_2008,85
jun_2008,64
jul_2008,0
agu_2008,0
sep_2008,18
okt_2008,300
nov_2008,679
des_2008,226
jan_2009,372
feb_2009,295
mar_2009,192
apr_2009,375
mei_2009,176
jun_2009,48
jul_2009,0
agu_2009,0
sep_2009,0
okt_2009,50
nov_2009,254
des_2009,67
jan_2010,698
feb_2010,287
mar_2010,366
apr_2010,232
mei_2010,464
jun_2010,249
jul_2010,55
agu_2010,156
sep_2010,687
okt_2010,541
nov_2010,439
des_2010,496
jan_2011,571
feb_2011,210
mar_2011,560
apr_2011,339
mei_2011,427
jun_2011,0
jul_2011,0
agu_2011,0
sep_2011,0
okt_2011,191
nov_2011,1123
des_2011,591
jan_2012,686
feb_2012,1053
mar_2012,551
apr_2012,421
mei_2012,329
jun_2012,39
jul_2012,10
agu_2012,0
sep_2012,0
okt_2012,86
nov_2012,576
des_2012,257
jan_2013,400
feb_2013,514
mar_2013,448
apr_2013,339
mei_2013,373
jun_2013,222
jul_2013,195
agu_2013,0
sep_2013,6
okt_2013,180
nov_2013,424
des_2013,337
jan_2014,338
feb_2014,362
mar_2014,202
apr_2014,259
mei_2014,125
jun_2014,171
jul_2014,91
agu_2014,3
sep_2014,0
okt_2014,3
nov_2014,448
des_2014,190
jan_2015,367
feb_2015,132
mar_2015,406
apr_2015,329
mei_2015,40
jun_2015,37
jul_2015,0
agu_2015,0
sep_2015,0
okt_2015,0
nov_2015,196
des_2015,301
jan_2016,213
feb_2016,487
mar_2016,526
apr_2016,258
mei_2016,165
jun_2016,199
jul_2016,249
agu_2016,42
sep_2016,288
okt_2016,401
nov_2016,675
des_2016,383
jan_2017,403
feb_2017,412
mar_2017,429
apr_2017,368
mei_2017,159
jun_2017,57
jul_2017,21
agu_2017,1
sep_2017,163
okt_2017,248
nov_2017,911
des_2017,347
jan_2018,559
feb_2018,439
mar_2018,319
apr_2018,205
mei_2018,34
jun_2018,0
jul_2018,0
agu_2018,0
sep_2018,0
okt_2018,0
nov_2018,236
des_2018,257